Contact Method,Name,Date,Time,City,State,Observer,Vessel,GIS Latitude,GIS Longitude,Depth (ft),Location,Region/Buoy#,Reef Zone,Wind Spd.,Air Temp (°F),SST (°F),Bottom Temp (°F),Cloud Cover,Bleaching?,Severity,Branching/Pillar,Brain,Encrusting/Mound/Boulder,Flowering/Cup,Leaf/Plate/Sheet,Fleshy,% bleached,Max Depth (ft),Min Depth (ft),Baseline Indicators,Baseline Indicators,Baseline Indicators,Notes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Email,Erich Bartels,7/12/2016,no data,Summerland Key ,FL,Research,Mote Marine Laboratory (MML),24.52672,-81.50054,24,ACER 76,no data,Bank Reef,no data,no data,no data,no data,no data,No,none,none,none,none,none,none,none,0%,no data,no data,no data,no data,no data,no disease noted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
In Person, Dave Vaughan,7/13/2016,11:00,Summerland Key ,FL,Research,Mote Marine Laboratory (MML),24.54480,-81.81020,15," Fort Zachery Taylor State Park, Key West", Behind Beach Jetty,other/don't know,no data,no data,no data,no data,no data,Yes,paling,none,paling,paling,none,none,none,11-30%,12,15,no data,no data,no data,,, ,, ,,,,,, ,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
In Person,Peter Horton,7/13/2016,no data,Key West ,FL,Resident,Key West Resident,24.54268,-81.78997,12,Casa Marina Reef,40 yds. off Marker 4, Patch Reef, 5-10 kts,87,92,89,partly cloudy,Yes,paling,none,none,paling,none,none,none,11-30%,no data,no data,no data,no data,no data,Black Band Disease on SSID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
In Person,Peter Horton,7/13/2016,no data,Key West ,FL,Resident,Key West Resident,24.44487,-81.92653,21,Western Dry Rocks, Buoy # WD3,Bank Reef, 5-10 kts,87,90,88,partly cloudy,No,none,none,none,none,none,none,none,0%,no data,no data,palythoa,fire coral,no data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
In Person,Cory Walter,7/13/2016,13:30,Summerland Key ,FL,Research,Mote Marine Laboratory (MML),24.45350,-81.86000,no data,Rock Key,no data,Bank Reef,no data,no data,no data,no data,no data,No,none,none,none,none,none,none,none,0%,no data,no data,no data,no data,no data,no disease noted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Email, Dan Merselis,7/13/2016,11:00,"Miami, FL",FL,Research,Florida International University (FIU),24.93517,-80.54949,20, Hens and Chickens,no data, Patch Reef, 0-5 kts,no data,no data,no data,no data,Yes,upper surface,none,partial bleaching,partial bleaching,partial bleaching,none,none,1-10%,10,20,no data,no data,no data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
In Person, Cory Walter,7/14/2016,11:00,Summerland Key ,FL,Research,Mote Marine Laboratory (MML),24.55290,-81.38015,25, Big Pine Ledge,no data,Bank Reef, 10-15 kts,no data,no data,no data,no data,No,none,none,none,none,none,none,none,0%,no data,no data,fire coral,no data,no data,No disease noted.,, ,,,,,, ,, ,,,,,,,, ,,,,,,,, ,, ,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Email, Michele Mason,7/14/2016,no data,Summerland Key ,FL,Resident,Summerland Key Resident,24.61622,-81.39160,7.7, Newfound Harbor Sanctuary Preservation Zone, Buoy  #3 and #5, Hardbottom, 5-10 kts,85,88,no data,no data,Yes,paling,none,paling,paling,paling,none,none,1-10%,4,7,no data,no data,no data,,,,, ,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Email,Trudy Ferraro,7/14/2016,no data,Key Largo ,FL,Research, Florida Park Service (FPS),25.11140,-80.34038,no data,Cannon Patch,no data,other/don't know,no data,no data,no data,no data,no data,No,none,none,none,none,none,none,none,0%,no data,no data,no data,no data,no data,no disease noted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Email,Trudy Ferraro,7/14/2016,no data,Key Largo ,FL,Research, Florida Park Service (FPS),25.11110,-80.34002,no data,Cannon Patch,no data,other/don't know,no data,no data,no data,no data,no data,No,none,none,none,none,none,none,none,0%,no data,no data,no data,no data,no data,Dark spot on approx. 2% SSID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Email,Trudy Ferraro,7/14/2016,no data,Key Largo ,FL,Research, Florida Park Service (FPS),25.11016,-80.34073,no data,Cannon Patch,no data,other/don't know,no data,no data,no data,no data,no data,Yes,paling,none,none,paling,none,none,none,1-10%,no data,no data,no data,no data,no data,Dark spot on approx. 2% SSID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Email,Trudy Ferraro,7/14/2016,no data,Key Largo ,FL,Research, Florida Park Service (FPS),25.11000,-80.34111,no data,Cannon Patch,no data,other/don't know,no data,no data,no data,no data,no data,Yes,paling,none,none,paling,none,none,none,1-10%,no data,no data,no data,no data,no data,Dark spot on approx. 2% SSID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Email,Trudy Ferraro,7/14/2016,no data,Key Largo ,FL,Research, Florida Park Service (FPS),25.11643,-80.34102,no data,Cannon Patch,no data,other/don't know,no data,no data,no data,no data,no data,Yes,paling,none,none,paling,none,none,none,1-10%,no data,no data,no data,no data,no data,Minor paling on SINT and SSID.  Dark spot on 5% of SSID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Email,Trudy Ferraro,7/14/2016,11:00,Key Largo ,FL,Research, Florida Park Service (FPS),25.12285,-80.33810,no data,Cannon Patch,no data,other/don't know,no data,no data,no data,no data,no data,Yes,paling,none,none,paling,none,none,none,1-10%,no data,no data,no data,no data,no data,Minor paling on SINT and SSID.  Dark spot on 2% of SSID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Email, Bill Ferrell C/O Keys Marine Lab,7/16/2016,11:00,Long Key ,FL,Resident,Keys Marine Laboratory (KML),24.73360,-80.82650,26, Long Key Bridge rubble,no data,other/don't know, 10-15 kts,90,86,86,partly cloudy,No,none,none,none,none,none,none,none,0%,no data,no data,no data,no data,no data,,,,,,, ,, ,,,,,, ,, ,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Email,Vanessa Brinkhuis,7/17/2016,no data,Marathon ,FL,Research, Florida Fish and Wildlife (FWC),25.11185,-80.30520,20,Grecian Rocks,no data, Patch Reef,no data,no data,no data,no data,no data,No,none,none,none,none,none,none,none,0%,no data,no data,no data,no data,no data,"9 species affected with White Plague, the unknown White Blotch and other unknown white syndromes.  It is the worst disease outbreak I have observed over my 10 years of field work at one site.  It is affecting Orbicella annularis, Montastraea cavernosa, Psuedodiploria strigosa, Diploria labyrinthiformis, Colpophyllia natans, Siderastrea siderea,  Meandrina meandrites, Dichocoenia stokesii and Eusmilia fastigiata. Most Meandrina and Dichocoenia are 100% recently dead.  The two large iconic CNATs at mooring ball#12 are affected, the largest showing active spreading white blotch type disease and the next largest CNAT already 99% dead.  It was a very sad dive. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Email,Jeri Goldberg,7/18/2016,no data,Islamorada ,FL,Dive Industry,Key Dives/Giant Stride,24.88830,-80.54898,90,Victory Reef,no data,Bank Reef,15-20 kts,85,85,84,clear,Yes,upper surface,none,none,paling,none,none,none,1-10%,46,75,gorgonians,no data,no data,Dark spot disease on coral.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Email,Rob Ruzicka,7/18/2016,no data,Marathon ,FL,Research, Florida Fish and Wildlife (FWC),25.00921,-80.37446,no data, Molases Reef,no data,other/don't know,no data,no data,no data,no data,no data,No,none,none,none,none,none,none,none,0%,no data,no data,no data,no data,no data,"Disease, but less than 1% of the white disease",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Email,Jeri Goldberg,7/19/2016,no data,Islamorada ,FL,Dive Industry,Key Dives/Giant Stride,24.88945,-80.55660,31,The Maze,no data, Patch Reef,15-20 kts,89,83,82,clear,Yes,paling,none,paling,paling,none,none,none,11-30%,no data,no data,no data,no data,no data,Dark spot disease on coral.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Email,Rob Ruzicka,7/19/2016,no data,Marathon ,FL,Research, Florida Fish and Wildlife (FWC),25.22068,-80.21096,no data,Carysfort,no data,other/don't know,no data,no data,no data,no data,no data,No,none,none,none,none,none,none,none,0%,no data,no data,no data,no data,no data,Disease.  White blotch on SSID at 69%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
In Person, Cory Walter,7/21/2016,11:00,Summerland Key ,FL,Research,Mote Marine Laboratory (MML),24.55268,-81.38230,21, Combat Wounded Veterans,no data, Patch Reef, 5-10 kts,no data,no data,no data,no data,No,none,none,none,none,none,none,none,0%,no data,no data,palythoa,no data,no data,no disease noted,,,,,,,,,,,,,,,, ,, ,,,,,, ,, ,,,,,,,, ,,,,,,,, ,, ,, ,,,,,,,,,,,, ,,,, ,, ,, ,,,,,,,, ,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
In Person,Peter Horton,7/22/2016,no data,Key West ,FL,Resident,Key West Resident,24.45430,-81.85775,21,Rock Key,no data,Bank Reef, 5-10 kts,86,85,83,mostly cloudy,No,none,none,none,none,none,none,none,0%,no data,no data,palythoa,no data,no data,Beautiful blue water.  Water temp lower than previous week.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
In Person, Cory Walter,7/22/2016,11:00,Summerland Key ,FL,Research,Mote Marine Laboratory (MML),24.53072,-81.48631,26, West of Outplant C,no data,other/don't know,no data,no data,no data,no data,no data,No,none,none,none,none,none,none,none,0%,no data,no data,fire coral,no data,no data,Darkspot on about 10 colonies of SSID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
In Person, Cory Walter,7/22/2016,11:00,Summerland Key ,FL,Research,Mote Marine Laboratory (MML),24.52999,-81.49000,25, W of West of Outplant C,no data,Bank Reef, 5-10 kts,no data,no data,no data,no data,No,none,none,none,none,none,none,none,0%,no data,no data,fire coral,no data,no data,White disease on PSTR,, ,,,,,,,,,,,,,,,,,, ,, ,,,,,, ,, ,,,,,,,, ,,,,,,,, ,, ,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Email,Brian Reckenbeil,7/22/2016,no data,Marathon ,FL,Research, Florida Fish and Wildlife (FWC),24.71073,-80.94790,25,Middle Keys,no data,other/don't know,no data,no data,no data,no data,no data,Yes,paling,paling,none,paling,none,none,none,1-10%,no data,no data,no data,no data,no data,Outplanted corals were either partial bleaching or paling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Email, Michele Mason,7/23/2016,11:00,Summerland Key ,FL,Resident,Keys Marine Laboratory (KML),24.61622,-81.39160,9.7, Newfound Harbor Sanctuary Preservation Zone,Buoy # 1 & 5, Hardbottom, 0-5 kts,83,85,no data,no data,Yes,paling,none,paling,paling,none,none,none,no data,5,9.7,palythoa,gorgonians,no data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Email, Dan Merselis,7/23/2016,11:00,"Miami, FL",FL,Research,Florida International University (FIU),24.95015,-80.43519,95, Conch Reef, Aquarius reef base,Bank Reef,no data,no data,no data,no data,no data,No,none,none,none,none,none,none,none,0%,no data,no data,no data,no data,no data,,,,,,,,,,, ,, ,,,,,, ,, ,,,,,,,, ,,,,,,,, ,, ,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Email, Bill Ferrell C/O Keys Marine Lab,7/23/2016,11:00,Long Key ,FL,Resident,Key West Resident,24.73670,-80.78243,116, 2 miles W of Tenn. Light,no data, Deep Reef, 5-10 kts,89,86,85,clear,No,none,none,none,none,none,none,none,0%,no data,no data,no data,no data,no data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Email, Bill Ferrell C/O Keys Marine Lab,7/23/2016,12:00,Long Key ,FL,Resident,Keys Marine Laboratory (KML),24.73690,-80.79490,55, 3 miles W of Tenn. Light,no data,Bank Reef, 5-10 kts,89,86,86,partly cloudy,No,none,none,none,none,none,none,none,0%,no data,no data,no data,no data,no data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Email,Jeri Goldberg,7/23/2016,no data,Islamorada ,FL,Dive Industry,Key Dives/Giant Stride,24.87828,-80.57016,26,Captain Arnos,no data, Patch Reef, 5-10 kts,89,no data,no data,clear,No,none,none,none,none,none,none,none,0%,no data,no data,no data,no data,no data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
In Person,Cory Walter,7/23/2016,no data,Summerland Key ,FL,Research,Mote Marine Laboratory (MML),24.54668,-81.40070,no data,Looe SPA #2,no data,other/don't know,no data,no data,no data,no data,no data,No,none,none,none,none,none,none,none,0%,no data,no data,no data,no data,no data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
In Person, Cory Walter,7/25/2016,11:00,Summerland Key ,FL,Research,Mote Marine Laboratory (MML),24.45918,-81.84405,23, Eastern Dry Rocks #2,no data,Bank Reef, 10-15 kts,no data,no data,no data,no data,No,none,none,none,none,none,none,none,0%,no data,no data,palythoa,no data,no data,"BBD on MMEA, OFAV with dead spots from fish bites,",, ,, ,,,,,,,,,,,,,,,,,, ,, ,,,,,, ,, ,,,,,,,, ,,,,,,,, ,, ,, ,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
In Person,Peter Horton,7/26/2016,no data,Key West ,FL,Resident,Key West Resident,24.54257,-81.78995,12,Casa Marina Reef,no data,hardbottom, 10-15 kts,88,87,85,partly cloudy,Yes,paling,none,paling,paling,none,none,none,11-30%,no data,no data,no data,no data,no data,Choppy seas and bad vis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
In Person, Cory Walter,7/26/2016,11:00,Summerland Key ,FL,Research,Mote Marine Laboratory (MML),24.45173,-81.87875,24, Sand Key,no data,Bank Reef, 10-15 kts,no data,no data,no data,no data,No,none,none,none,none,none,none,none,0%,no data,no data,palythoa,no data,no data,White disease on (3) OFAV,, ,, ,, ,,,,,,,,,,,,,,,,,, ,, ,,,,,, ,, ,,,,,,,, ,,,,,,,, ,, ,, ,,,,,,,,,,,, ,,,, ,, ,, ,,,,,,,, ,,,, ,,,,,,, , , ,, , ,,,, , , ,,,,,,,,,, , , ,,,,,,,,,,,,,,,,,,,,,,,,
In Person, Cory Walter,7/26/2016,11:00,Summerland Key ,FL,Research,Mote Marine Laboratory (MML),24.45686,-81.89728,35, Sand Key NorthWest,no data, Patch Reef, 10-15 kts,no data,no data,no data,no data,Yes,paling,none,none,paling,paling,none,paling,1-10%,no data,no data,fire coral,palythoa,no data,No disease noted,, ,, ,, ,, ,,,,,,,,,,,,,,,,,, ,, ,,,,,, ,, ,,,,,,,, ,,,,,,,, ,, ,, ,,,,,,,,,,,, ,,,, ,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
In Person, Cory Walter,7/28/2016,11:00,Summerland Key ,FL,Research,Mote Marine Laboratory (MML),24.52801,-81.49483,no data, East of American Shoals,no data,other/don't know,no data,no data,no data,no data,no data,No,none,none,none,none,none,none,none,0%,no data,no data,no data,no data,no data,No disease noted,,,, ,, ,, ,, ,,,,,,,,,,,,,,,,,, ,, ,,,,,, ,, ,,,,,,,, ,,,,,,,, ,, ,, ,,,,,,,,,,,, ,,,, ,, ,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
In Person, Cory Walter,7/28/2016,11:00,Summerland Key ,FL,Research,Mote Marine Laboratory (MML),24.53866,-81.44375,35, East of American Shoals,no data,other/don't know,no data,no data,no data,no data,no data,No,none,none,none,none,none,none,none,0%,no data,no data,no data,no data,no data,,,,, ,, ,, ,, ,, ,,,,,,,,,,,,,,,,,, ,, ,,,,,, ,, ,,,,,,,, ,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
In Person, Cory Walter,7/28/2016,11:00,Summerland Key ,FL,Research,Mote Marine Laboratory (MML),24.54000,-81.44282,25, Unknown,no data,Bank Reef,no data,no data,83,no data,no data,No,none,none,none,none,none,none,none,0%,no data,no data,no data,no data,no data,,,, ,, ,, ,, ,, ,,,,,,,,,,,,,,,,,, ,, ,,,,,, ,, ,,,,,,,, ,,,,,,,, ,, ,, ,,,,,,,,,,,, ,,,, ,, ,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
In Person, Cory Walter,7/28/2016,11:00,Summerland Key ,FL,Research,Mote Marine Laboratory (MML),24.52818,-81.46950,25, Near Sand Key,no data,other/don't know, 10-15 kts,no data,no data,no data,no data,Yes,paling,none,paling,paling,none,none,paling,1-10%,no data,no data,palythoa,no data,no data,No disease noted,,,,,, ,, ,, ,, ,, ,,,,,,,,,,,,,,,,,, ,, ,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
In Person, Cory Walter,7/29/2016,no data,Summerland Key ,FL,Research,Mote Marine Laboratory (MML),24.53840,-81.45338,no data, Site U/SWG Outplant Site,no data,other/don't know,no data,no data,no data,no data,no data,No,none,none,none,none,none,none,none,0%,no data,no data,no data,no data,no data,No disease noted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Email,Jeri Goldberg,7/30/2016,no data,Islamorada ,FL,Dive Industry,Key Dives/Giant Stride,25.00921,-80.37446,no data, Molases Reef,no data,other/don't know, 5-10 kts,87,82,82,clear,Yes,upper surface,none,paling,paling,none,none,none,1-10%,14,27,gorgonians,no data,no data,Lots of dead coral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
