Contact Method,Name,Date,Time,City,State,Observer,Vessel,GIS Latitude,GIS Longitude,Depth (ft),Location,Region/Buoy#,Reef Zone,Wind Spd.,Air Temp (°F),SST (°F),Bottom Temp (°F),Cloud Cover,Bleaching?,Severity,Branching/Pillar,Brain,Encrusting/Mound/Boulder,Flowering/Cup,Leaf/Plate/Sheet,Fleshy,% bleached,Max Depth (ft),Min Depth (ft),Baseline Indicators,Baseline Indicators,Baseline Indicators,Notes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
In Person, Cory Walter,9/6/2016,10:00,Summerland Key ,FL,Research,Mote Marine Laboratory (MML),24.45445,-81.85770,no data, Rock Key,no data,Bank Reef, 5-10 kts,no data,no data,no data,no data,No,none,none,none,none,none,none,none,0%,no data,no data,no data,no data,no data,No disease noted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
In Person,Peter Horton,9/7/2016,10:10,Key West ,FL,Resident,Key West Resident,24.44483,-81.92653,21,Western Dry Rocks,no data,other/don't know, 10-15 kts,84,86,84,partly cloudy,Yes,paling,none,none,paling,none,none,none,1-10%,no data,no data,palythoa,no data,no data,No disease noted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
In Person,Peter Horton,9/7/2016,11:40,Key West ,FL,Resident,Key West Resident,24.45435,-81.85775,21,Rock Key,no data,other/don't know, 10-15 kts,86,84,81,partly cloudy,No,none,none,none,none,none,none,none,0%,no data,no data,palythoa,no data,no data,No disease noted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
In Person,Peter Horton,9/7/2016,12:30,Key West ,FL,Resident,Key West Resident,24.54233,-81.78993,12,Casa Marina Reef,no data,other/don't know, 10-15 kts,88,84,81,partly cloudy,No,none,none,none,none,none,none,none,0%,no data,no data,no data,no data,no data,No disease noted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Email,Meaghan Johnson,9/7/2016,no data,Big Pine Key,FL,Research,The Nature Conservancey,24.59711,-81.26461,25,FRRP-3001,no data,other/don't know,no data,no data,no data,no data,no data,Yes,paling,none,paling,paling,none,none,none,1-10%,no data,no data,no data,no data,no data,No disease noted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Email,Meaghan Johnson,9/7/2016,no data,Big Pine Key,FL,Research,The Nature Conservancey,24.62170,-81.15642,25,FRRP-3002,no data,other/don't know,no data,no data,no data,no data,no data,Yes,paling,none,paling,paling,none,none,none,1-10%,no data,no data,no data,no data,no data,No disease noted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Email,Meaghan Johnson,9/7/2016,no data,Big Pine Key,FL,Research,The Nature Conservancey,24.60183,-81.20769,25,FRRP-3004,no data,other/don't know,no data,no data,no data,no data,no data,Yes,paling,none,paling,paling,none,none,none,1-10%,no data,no data,no data,no data,no data,No disease noted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Email,Meaghan Johnson,9/7/2016,no data,Big Pine Key,FL,Research,The Nature Conservancey,24.59492,-81.22578,30,FRRP-2171,no data,other/don't know,no data,no data,no data,no data,no data,Yes,paling,none,paling,paling,none,none,none,1-10%,no data,no data,no data,no data,no data,6 MMEA with DS disease,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Email,Trudy Ferraro,9/7/2016,no data,Key Largo ,FL,Research,Florida Park Service (FPS),25.04497,-80.39637,no data,Pennekamp Park,no data,other/don't know,no data,no data,no data,no data,no data,No,none,none,none,none,none,none,none,0%,no data,no data,no data,no data,no data,"DS on SSID, disease level low, effecting ~50% species",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Email, Michele Mason,9/11/2016,10:00,Summerland Key ,FL,Resident,Summerland Key Resident,24.61553,-81.39370,7.3, Newfound Harbor Sanctuary Preservation Zone,Buoy #1, Patch Reef, 5-10 kts,84,83,no data,partly cloudy,Yes,paling,none,paling,paling,none,none,none,11-30%,4,7,no data,no data,no data,"Spiny black sea urchins (2-3) observed with 50% or greater of their spines being white/grey. I have not seen this before at this exact location (observed in June, July, August) .  I did not notice any with loss of",,,,,,  ,, ,,,, ,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
In Person,Cory Walter,9/12/2016,no data,Summerland Key ,FL,Research,Mote Marine Laboratory (MML),24.61658,-81.39073,8,FRRP-1193,no data,other/don't know, 5-10 kts,no data,no data,no data,no data,No,none,no data,no data,none,none,none,none,0%,no data,no data,no data,no data,no data,No disease noted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
In Person,Cory Walter,9/12/2016,no data,Summerland Key ,FL,Research,Mote Marine Laboratory (MML),24.54690,-81.42886,35,FRRP-2220,no data,other/don't know, 5-10 kts,no data,no data,no data,no data,Yes,paling,none,none,paling,none,none,none,1-10%,no data,no data,no data,no data,no data,No disease noted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
In Person,Cory Walter,9/12/2016,no data,Summerland Key ,FL,Research,Mote Marine Laboratory (MML),24.54610,-81.40730,12,FRRP-1214,no data,other/don't know, 5-10 kts,no data,no data,no data,no data,No,none,none,none,none,none,none,none,0%,no data,no data,no data,no data,no data,White disease on OFAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
In Person,Cory Walter,9/12/2016,no data,Summerland Key ,FL,Research,Mote Marine Laboratory (MML),24.56692,-81.38860,24,FRRP-1207,no data,other/don't know, 5-10 kts,no data,no data,no data,no data,No,none,none,none,none,none,none,none,0%,no data,no data,no data,no data,no data,No disease noted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
In Person,Cory Walter,9/14/2016,no data,Summerland Key ,FL,Research,Mote Marine Laboratory (MML),24.52639,-81.62442,26,FRRP-1199,no data, Mid-Channel Reef, 5-10 kts,no data,no data,no data,no data,No,none,none,none,none,none,none,none,0%,no data,no data,no data,no data,no data,No disease noted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
In Person,Cory Walter,9/14/2016,no data,Summerland Key ,FL,Research,Mote Marine Laboratory (MML),24.54826,-81.57417,18,FRRP-1200,no data,other/don't know, 5-10 kts,no data,no data,no data,no data,No,none,none,none,none,none,none,none,0%,no data,no data,no data,no data,no data,No disease noted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
In Person,Cory Walter,9/14/2016,no data,Summerland Key ,FL,Research,Mote Marine Laboratory (MML),24.58155,-81.57414,19,Random,no data,other/don't know, 5-10 kts,no data,no data,no data,no data,No,none,none,none,none,none,none,none,0%,no data,no data,no data,no data,no data,No disease noted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
In Person,Cory Walter,9/14/2016,no data,Summerland Key ,FL,Research,Mote Marine Laboratory (MML),24.55933,-81.50905,19,FRRP-2190,no data,other/don't know, 5-10 kts,no data,no data,no data,no data,No,none,none,none,none,none,none,none,0%,no data,no data,no data,no data,no data,No disease noted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
In Person,Cory Walter,9/16/2016,no data,Summerland Key ,FL,Research,Mote Marine Laboratory (MML),24.55268,-81.38230,20, Combat Wounded Veterans,no data,other/don't know, 5-10 kts,no data,no data,no data,no data,No,none,none,none,none,none,none,none,0%,no data,no data,no data,no data,no data,White band of ACER outplants,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
In Person,Cory Walter,9/16/2016,no data,Summerland Key ,FL,Research,Mote Marine Laboratory (MML),24.54961,-81.44187,27,FRRP-2213,no data,other/don't know, 5-10 kts,no data,no data,no data,no data,No,none,none,none,none,none,none,none,0%,no data,no data,no data,no data,no data,No disease noted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
In Person,Peter Horton,9/18/2016,no data,Key West ,FL,Resident,Key West Resident,24.44483,-81.92653,21,Western Dry Rocks,no data,other/don't know,no data,no data,no data,no data,no data,No,none,none,none,none,none,none,none,0%,no data,no data,no data,no data,no data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
In Person,Peter Horton,9/18/2016,no data,Key West ,FL,Resident,Key West Resident,24.45435,-81.85775,21,Rock Key,no data,other/don't know,no data,no data,no data,no data,no data,No,none,none,none,none,none,none,none,0%,no data,no data,no data,no data,no data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
In Person,Peter Horton,9/18/2016,no data,Key West ,FL,Resident,Key West Resident,24.54233,-81.78993,12,Casa Marina Reef,no data,other/don't know,no data,no data,no data,no data,no data,No,none,none,none,none,none,none,none,0%,no data,no data,no data,no data,no data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
In Person,Cory Walter,9/19/2016,no data,Summerland Key ,FL,Research,Mote Marine Laboratory (MML),24.55319,-81.37940,19,FRRP-3014,no data,Bank Reef, 5-10 kts,no data,no data,no data,no data,Yes,paling,none,paling,paling,none,none,none,1-10%,no data,no data,no data,no data,no data,white disease on Sid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
In Person,Cory Walter,9/19/2016,no data,Summerland Key ,FL,Research,Mote Marine Laboratory (MML),24.53840,-81.45338,19,FRRP-3013,no data,other/don't know, 5-10 kts,no data,no data,no data,no data,Yes,paling,none,paling,paling,none,none,none,1-10%,no data,no data,no data,no data,no data,dark spot disease on MMEA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Email,Jessica Dockery,9/20/2016,no data,Key Largo ,FL,Education, MarineLab,25.13813,-80.28827,18,North North Dry Rocks,no data,other/don't know, 5-10 kts,no data,no data,no data,no data,No,none,none,none,none,none,none,none,0%,no data,no data,no data,no data,no data,No disease noted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Email, Cindy Lewis,9/21/2016,10:00,Long Key ,FL,Research, Keys Marine Laboratory (KML),24.76282,-80.75593,30, Middle Keys, Tennessee ROA Big Anchor,Bank Reef, 0-5 kts,86,86,90,clear,No,none,none,none,none,none,none,none,0%,25,30,no data,no data,no data,"no active BBD or WP; many large dead coral heads - probably from 2015? Salinity bottom 37.9ppt, ph7.89, top salinity 29.9ppt, ph. 7.971 medium S SSID was 50% recent dead - blotchy disease?1 medium S SSID was 50% recent dead - blotchy disease?", , ,,,,,,  ,, ,,,, ,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Email,Jenni Stein,9/21/2016,no data,Big Pine Key,FL,Research,The Nature Conservancey,24.99920,-80.42314,no data,FRRP-1112,no data,other/don't know,no data,no data,no data,no data,no data,Yes,paling,no data,no data,no data,no data,no data,no data,1-10%,no data,no data,no data,no data,no data,No disease noted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Email,Jenni Stein,9/21/2016,no data,Big Pine Key,FL,Research,The Nature Conservancey,24.95505,-80.45795,no data,FRRP-1148,no data,other/don't know,no data,no data,no data,no data,no data,Yes,paling,no data,no data,no data,no data,no data,no data,1-10%,no data,no data,no data,no data,no data,White plague on 3 coloniesbut might be more,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Email, Shelby Hammett,9/22/2016,no data,Key West ,FL,Research,Mote Marine Laboratory (MML),24.62135,-81.36292,14, Reskinning Site,no data, Patch Reef, 5-10 kts,86,85,85,clear,No,none,none,none,none,none,none,none,0%,no data,no data,no data,no data,no data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Email, Michele Mason,9/23/2016,10:00,Summerland Key ,FL,Resident,Summerland Key Resident,24.61553,-81.39370,8, Newfound Harbor Sanctuary Preservation Zone,Buoy #1, Patch Reef, 0-5 kts,83,86,no data,mostly cloudy,Yes,paling,none,none,none,none,none,none,31-50%,4,7,gorgonians,no data,no data,Erythropodium found to be nearly fully bleached.,, ,,, , ,,,,,,  ,, ,,,, ,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Email, Shelby Hammett,9/23/2016,no data,Key West ,FL,Research,Mote Marine Laboratory (MML),24.54475,-81.81052,14, Ft. Zachary Taylor Park,no data,other/don't know, 5-10 kts,86,84,84,clear,No,none,none,none,none,none,none,none,0%,no data,no data,no data,no data,no data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Email,Jeri Goldberg,9/25/2016,9:00,Islamorada ,FL,Dive Industry,Key Dives/Giant Stride,24.84724,-80.62019,no data, Alligator SPA,no data, Mid-Channel Reef, 5-10 kts,85,83,83,partly cloudy,No,none,none,none,none,none,none,none,0%,no data,no data,no data,no data,no data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Email,Jeri Goldberg,9/25/2016,10:30,Islamorada ,FL,Dive Industry,Key Dives/Giant Stride,24.87877,-80.57062,78,Captain Arnos,no data,Deep Reef,no data,85,82,82,partly cloudy,Yes,paling,none,none,paling,none,none,none,1-10%,no data,no data,no data,no data,no data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Email, Cindy Lewis,9/25/2016,10:00,Long Key ,FL,Research, Keys Marine Laboratory (KML),24.71823,-80.82143,113, Middle Keys, Long Key Reef, Deep Reef, 5-10 kts,82,86,86,partly cloudy,No,none,none,none,none,none,none,none,0%,100,115,no data,no data,no data,3 medium size colonies -S SSID with 'blotchy' disease 25-50% recent mortality; all other species appeared healthy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Email, Shelby Hammett,9/28/2016,10:00,Key West ,FL,Research,Mote Marine Laboratory (MML),24.45910,-81.84433,25, Eastern Dry Rocks,no data,Bank Reef, 0-5 kts,86,84,84,partly cloudy,No,none,none,none,none,none,none,none,0%,no data,no data,no data,no data,no data,,,,, ,, ,,, , ,,,,,,  ,, ,,,, ,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Email, Shelby Hammett,9/28/2016,10:00,Key West ,FL,Research,Mote Marine Laboratory (MML),24.45461,-81.85935,23, Rock Key,no data,Bank Reef, 0-5 kts,86,84,84,partly cloudy,No,none,none,none,none,none,none,none,0%,no data,no data,no data,no data,no data,,,,,,, ,, ,,, , ,,,,,,  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Email, Shelby Hammett,9/29/2016,no data,Key West ,FL,Research,Mote Marine Laboratory (MML),24.53840,-81.45350,25, Site U/SWG Outplant Site,no data,Bank Reef, 5-10 kts,86,84,84,clear,No,none,none,none,none,none,none,none,0%,no data,no data,no data,no data,no data,,,,,,,,, ,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Email, Shelby Hammett,9/30/2016,no data,Key West ,FL,Research,Mote Marine Laboratory (MML),24.55290,-81.38015,27,Site P Outplant,no data,Bank Reef, 0-5 kts,86,84,84,clear,No,none,none,none,none,none,none,none,0%,no data,no data,no data,no data,no data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
In Person,Peter Horton,9/30/2016,13:00,Key West ,FL,Resident,Key West Resident,24.44488,-81.92648,21,Western Dry Rocks,no data,Bank Reef, 5-10 kts,88,86,80,clear,No,none,none,none,none,none,none,none,0%,no data,no data,palythoa,no data,no data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
In Person,Peter Horton,9/30/2016,14:45,Key West ,FL,Resident,Key West Resident,24.45432,-81.85773,21,Rock Key,no data,Bank Reef, 5-10 kts,88,86,81,partly cloudy,No,none,none,none,none,none,none,none,0%,no data,no data,palythoa,no data,no data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Email, Shelby Hammett,10/1/2016,no data,Key West ,FL,Research,Mote Marine Laboratory (MML),24.55268,-81.38230,27, Combat Wounded Veterans,no data,Bank Reef, 0-5 kts,86,84,84,clear,No,none,none,none,none,none,none,none,0%,no data,no data,no data,no data,no data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Email, Shelby Hammett, 10/03/2016,10:00,Key West ,FL,Research,Mote Marine Laboratory (MML),24.50130,-81.69432,30, FRRP-2196,no data, Hardbottom, 15-20 kts,no data,84,84,no data,No,none,none,none,none,none,none,none,0%,no data,no data,no data,no data,no data,,,,,,, ,, ,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Email, Shelby Hammett, 10/03/2016,10:00,Key West ,FL,Research,Mote Marine Laboratory (MML),24.50202,-81.61847,20,Pelican Reef,no data,Bank Reef, 15-20 kts,86,84,84,partly cloudy,No,none,none,none,none,none,none,none,0%,no data,no data,no data,no data,no data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,, , ,, ,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no data,no data,no data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
